filename,caption
quad (418).jpg," A black ATV sits on an artificial green turf surface, positioned near the brightly lit, rectangular corner of a swimming pool at night."
m11_ppe (149).jpg,"Two adult males wear blue protective uniforms with orange collars, orange safety helmets, and green full-body safety harnesses with orange straps, with the man on the right facing forward and the man on the left showing his back. "
helicopter (241).jpg,"Two orange-clad people are on board and flying in the sky in a gray medium helicopter with a five-leaf propeller, a phenestron-style tail rotor, two large wheels on each side of the front and one small wheel in the center of the back."
sports_car (154).jpg,"A vibrant red coupe stands prominently on display at a bustling indoor auto show, where many people browse the surrounding vehicles and one individual sits inside the driver's seat under bright artificial lighting."
bird (497).jpg,A white rooster stares into the distance during the daytime.
m1_ppe (201).jpg,A worker wearing a yellow safety helmet and a mustache is wearing a blue work suit.
bus (140).jpg,A man in a white shirt stands and looks at a green and blue 'Sarke Travels' bus that is parked on a dirt road under the shade of a large tree.
limousine (234).jpg,A large white Hummer stretch limousine is parked on a grassy field under a bright blue sky during the daytime .
concrete_truck (321).jpg,A large cement truck is driving down the road with a cement mixer on the back.
forklift (152).jpg,"An adult male operates an orange and gray Toyota forklift, carrying multiple cardboard boxes on a pallet in a warehouse during the daytime. "
m1_ppe (427).jpg,A worker wearing a white safety helmet walks obliquely with his hands raised and outstretched in front of the vehicle while wearing protective gear.
walking_person (463).png,An adult male wearing a light jacket stands near a white van and a car on a street at night.
pickup_truck (395).jpg,"A pale orange garage on the left, featuring a white sign with ""BODY SHOP"" in navy letters, stands behind a silver pickup truck that is completely crushed and destroyed, missing its tailgate and rear tires, under a blue sky with a line of utility poles in the background."
motorbike (13).jpg,An adult male wearing a white helmet sits on a yellow motorbike on a beach during sunset.
holdingGun_person (298).jpg,"An adult man wearing a black mask, a black jacket and black gloves is holding a car window and looking over the window."
fuel_truck (15).jpg,"A male adult wearing a green uniform with an ""AVIATION"" logo is standing beside a small propeller plane, operating a hose from a green and yellow fuel truck to refuel the aircraft on a sunny daytime tarmac."
m1_ppe (256).jpg,A worker in a yellow safety helmet and blue work suit is taking a picture with safety goggles and harnesses on.
convertible (255).jpg,"A bright red convertible is parked on a gravel driveway beside an old stone railing, with bare trees and a cloudy sky in the background."
m4_ppe (436).jpg,A man is wearing clear face shield.
m5_ppe (318).jpg,"A man with a yellow earmuffs, wearing a black short-sleeved shirt, is standing and looking at the man behind him in the daytime."
taxi (482).jpg,Gray and orange sedan taxis stop on the road with adult men and women waiting nearby on the sidewalk under a clear daytime.
bulldozer (204).jpg,"During the day, a yellow bulldozer is parked on the dirt road, and several similar yellow bulldozers are parked nearby."
sports_car (469).jpg,A red Corvette coupe rests on an asphalt road next to a body of water under a beautiful pink and orange sunset sky.
road_roller (220).jpg,"A used yellow grader with an enclosed cab, used for leveling earth, is parked on a gravel road during the day, with two adult males in high-visibility vests and hard hats standing nearby."
helicopter (77).jpg,"A four-leaf propeller, a light brown medium-sized helicopter with two large wheels in front of it, has two people on board, and a person stands on the door with the door open, landing at a landing site with a lot of trees behind it."
concrete_truck (158).jpg,A yellow truck with a large yellow cement mixer on the back.
m3_ppe (359).jpg,A construction worker in an orange vest shrugs with both hands raised.
ship (207).jpeg,A large white cruise ship named “COSTA ATLANTICA” with yellow and blue funnels sails away from the port in clear daylight.
car (300).png,"At night, a white sedan and a blue electric city bus are driving through a brightly lit intersection in the city."
fallen_person (418).jpg,"A male tennis player in white attire lies on his back on a green grass court with a raised leg and arms, celebrating or showing relief, with a racket nearby."
rv (29).jpg,"A white van with a solar panel is parked near a body of water during the daytime, with an adult male resting on the ground next to a folding table and an adult female in a yellow shirt sitting nearby, all surrounded by dense green foliage and tall trees."
police_car (396).jpg,"""A blue and white police car is parked on the street."
rv (101).jpg,An adult male rides a yellow bicycle with a red basket in front of a large white RV during the daytime. 
fire (186).png,"A large fire burns through a dense forest, casting an orange glow into the smoky night sky."
ship (249).jpeg,A small white-and-blue sailboat moves across the water during daytime as one person stands near the stern with folded sails hanging from the mast.
fuel_truck (233).jpg,"The rear of a white fuel tanker displays multiple hazard signs, including numbers 30-1202 and 33-1203 and foreign text warnings, with a Honda logo visible in the background during the daytime."
m3_ppe (249).jpg,"Three workers are having a discussion in a warehouse, with one person pointing a finger."
m10_ppe (27).jpg,An adult male carries a blue-suited mannequin while wearing an orange hard hat and an orange reflective vest during the daytime.
license_plate (96).jpg,A black vehicle displays a temporary white license plate 049912 during daytime.
m11_ppe (6).jpg,An adult man in a navy shirt over a black T-shirt is looking sideways in a red earmuff with a black cover and an adjustable headband.
dump_truck (291).jpg,"A driver operates a large yellow articulated dump truck with the number ""DT 108"" on its front as it moves along a dirt path under a clear sky."
pickup_truck (353).jpg,"A glossy white, 2-seater pickup truck with a blurred license plate is angled to its front-right on a road, with a black building and a red building behind it visible in the background."
cat (17).jpg,A black kitten is lying on the floor in front of a stack of colorful pillows.
excavator (411).jpg,A yellow LYNCH excavator sits on dirt ground under a cloudy daytime sky.
m2_ppe (155).jpg,A group of workers and supervisors are discussing blueprints at a site. They are wearing white helmets and yellow reflective vests.
airplane (400).jpg,"A white Airbus A340 airliner, featuring multiple small airline logos including 'VARIG', 'Thai', 'SAS', and 'Lufthansa' on its forward fuselage and a black Star Alliance logo on its black tail, sits parked on a concrete ramp next to a tan hangar wall under a bright blue sky with scattered cumulus clouds."
road_roller (496).jpg,"A used red Dynapac tamping foot road roller with an open canopy, designed for compacting cohesive soils, is actively operating on a dirt road during the day, with an adult male in a white shirt and blue jeans seen inside the cab."
crane_truck (318).jpg,A white Hino 500 truck with license plate 51C-988.43 equipped with a red Unic crane arm stands parked on a gravel lot during the daytime.
m3_ppe (40).jpg,Two cheerful construction workers wearing hard hats and safety vests shake hands on a building site.
motorbike (213).jpg,"A young man wearing a white helmet and a backpack rides a red motorbike on a street during the daytime, with another motorbike visible in the background."
uv (179).jpg,A smiling man drives a white golf cart while a woman in a yellow dress sits next to him on a paved path.
limousine (133).jpg,A damaged black Lincoln stretch limousine with missing license plates is parked on a dirt lot next to a white trailer during the daytime .
rickshaw (449).jpg,A black and white auto-rickshaw travels along a road with utility poles in the background during the daytime.
fire (130).png,"A large fire engulfs a building with thick smoke billowing into the sky, while two firefighters, one adult male and another adult male, stand by observing the scene during daytime."
excavator (325).jpg,"An orange CASE excavator sits on dirt ground with a container in the left background, a fence in the right background, under an overcast daytime sky."
convertible (46).jpg,"A red Aston Martin convertible is shown from the rear, parked on a checkered surface. Its sleek lines, dual exhausts, and elegant taillights emphasize its luxury and performance."
train (262).jpg,A silver commuter train with yellow and blue passes the crossing as workers in orange vests manage the site in daytime.
