filename,caption
quad (418).jpg,A black and white TomRide ATV with knobby tires and a black and white full-body safety harness is displayed on a light-colored tiled floor in a brightly lit exhibition hall.
m11_ppe (149).jpg,"A person wearing a yellow safety helmet, blue work clothes, and a yellow safety harness stands with one leg slightly bent and the other slightly bent. "
helicopter (241).jpg,"A black medium-sized helicopter with a four-leaf propeller, a four-leaf tail rotor method, one small wheel in the center of the front and two large wheels on each side of the"
sports_car (154).jpg,"A red Ferrari sports car with a black racing stripe on its hood is displayed indoors during the daytime, with a crowd of people milling about in the background. "
bird (497).jpg,A gray rooster stands on the right side of the road looking to the left during the daytime. 
m1_ppe (201).jpg,"A middle-aged man wearing a yellow safety helmet, a yellow safety harness, and blue work clothes stands with his back turned, holding a yellow railing with one hand. "
bus (140).jpg,A white and blue bus with a large advertisement on its side is stopped in traffic as a man in a white shirt stands nearby. 
limousine (234).jpg,A large white Hummer limousine is parked in a large paved area with a large tree in the background during the daytime . 
concrete_truck (321).jpg,A large cement truck is driving down the road with a cement mixer on the back. 
forklift (152).jpg,"An adult male operates a red and black forklift, lifting a large cardboard box onto a pallet inside a warehouse during the daytime.  "
m1_ppe (427).jpg,A worker wearing a white safety helmet walks obliquely in front of the vehicle while wearing protective gear. 
walking_person (463).png,"In a monochrome nighttime street, a white-toned van is parked roadside, and a man wearing a vest stands near the parked white BMW. "
pickup_truck (395).jpg,"A small blue-and-white airplane with a red ""SCHENK"" logo on its fuselage sits parked in front of a building with a sign reading ""HANIF"" and a"
motorbike (13).jpg,An adult male wearing a black helmet and a blue shirt stands on a red motorbike on a sandy beach during the daytime. 
holdingGun_person (298).jpg,A man wearing a black mask and a gray hoodie with a white collar is holding a gun with his right hand. 
fuel_truck (15).jpg,A worker in a reflective vest and helmet operating a mobile stairway in a depot during the daytime. 
m1_ppe (256).jpg,A worker wearing a yellow safety helmet and a fluorescent yellow safety harness stands with his back turned. 
convertible (255).jpg,"A bright turquoise convertible glides along a quiet suburban road, its sculpted body reflecting the soft daylight while the polished wheels and polished bodywork give the whole scene a playful, playful elegance that"
m4_ppe (436).jpg,"A young adult wears a clear face shield with blue band, time unknown. "
